CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,NOMMUN,centroid_lon,centroid_lat,creation_week,Population
01001,1,1,Aguascalientes,Aguascalientes,-102.296713482611,21.8108951408458,1824/52,947547
01002,1,2,Aguascalientes,Asientos,-102.045477034265,22.1265801550492,1833/01,51492
01003,1,3,Aguascalientes,Calvillo,-102.703228526176,21.9035332859935,1833/01,58342
01004,1,4,Aguascalientes,Cosío,-102.297037801416,22.3606187438055,1856/53,16968
01005,1,5,Aguascalientes,Jesús María,-102.452652799286,21.9355573665983,1833/01,129427
01006,1,6,Aguascalientes,Pabellón de Arteaga,-102.30251499683,22.1045081461855,1964/53,47641
01007,1,7,Aguascalientes,Rincón de Romos,-102.340712330207,22.267524095274,1833/01,56864
01008,1,8,Aguascalientes,San José de Gracia,-102.525590090663,22.1587214277119,1833/01,9514
01009,1,9,Aguascalientes,Tepezalá,-102.192132494013,22.2369580952207,1856/53,22443
01010,1,10,Aguascalientes,El Llano,-102.036183819403,21.9218530154652,1992/01,20746
01011,1,11,Aguascalientes,San Francisco de los Romo,-102.229029005937,22.0330653383034,1992/01,61992
02001,2,1,Baja California,Ensenada,-116.058589082134,31.5153364557622,1952/01,442827
02002,2,2,Baja California,Mexicali,-115.329391076876,32.1690838958817,1952/01,1029370
02003,2,3,Baja California,Tecate,-116.290993555653,32.4348822815636,1952/01,108318
02004,2,4,Baja California,Tijuana,-116.84730332676,32.4121343803155,1952/01,1882205
02005,2,5,Baja California,Playas de Rosarito,-116.889179121939,32.2517262298006,1997/53,126831
02006,2,6,Baja California,San Quintín,-114.50765738493,29.3836532508051,2020/07,117520
02007,2,7,Baja California,San Felipe,-114.888158118385,30.6830782023373,2021/26,20313
03001,3,1,Baja California Sur,Comondú,-111.80549463809,25.5288995572903,1974/01,73019
03002,3,2,Baja California Sur,Mulegé,-113.223565547644,27.289958666737,1974/01,64099
03003,3,3,Baja California Sur,La Paz,-110.619208061313,24.1671212903491,1974/01,291759
03004,3,4,Baja California Sur,Los Cabos,-109.74181403825,23.2699304783393,1980/53,350241
03005,3,5,Baja California Sur,Loreto,-111.456395322851,25.9611340266261,1992/01,17956
04001,4,1,Campeche,Calkiní,-90.269819088249,20.4142675473914,1862/01,42642
04002,4,2,Campeche,Campeche,-90.2658192239911,19.6162531416048,1824/52,294050
04003,4,3,Campeche,Carmen,-91.4838174128559,18.5239446744636,1824/52,248763
04004,4,4,Campeche,Champotón,-90.4937846506824,19.1143037283257,1840/01,78149
04005,4,5,Campeche,Hecelchakán,-90.1352920932618,20.1244714057536,1824/52,31917
04006,4,6,Campeche,Hopelchén,-89.6090869578683,19.4734434626768,1837/01,42136
04007,4,7,Campeche,Palizada,-91.9737366096238,18.2734044227796,1862/01,8584
04008,4,8,Campeche,Tenabo,-90.2328726360471,19.9696232959674,1862/01,11447
04009,4,9,Campeche,Escárcega,-90.4744563156149,18.5505356824604,1990/01,59904
04010,4,10,Campeche,Calakmul,-89.6616693060244,18.4019401156847,1996/01,31706
04011,4,11,Campeche,Candelaria,-90.7165056006176,18.0990247248929,1997/53,46831
